category,maker,kana,status,maker_source_urls,product_id,product_name,season,flex,profile,level,product_source_url
board,ACC SNOWBOARD,エーシーシー スノーボード,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,ALC,エーエルシー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-prism,PRISM,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/allian/
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-damage,DAMAGE,2025-2026,ソフト,キャンバー,初級〜中級,https://sbn.japaho.com/catalog/allian/
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-freeline,FREE LINE,2025-2026,ミディアム,ハイブリッド,中級,https://sbn.japaho.com/catalog/allian/
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-gangsta,GANGSTA,2025-2026,ソフト,ロッカー,初級〜中級,https://sbn.japaho.com/catalog/allian/
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-vivian,VIVIAN,2025-2026,ミディアムソフト,キャンバー,初級〜中級,https://sbn.japaho.com/catalog/allian/
board,ALLIAN,アライアン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/allian/,allian-atlantis,ATLANTIS,2025-2026,ミディアム,ハイブリッドキャンバー,中級,https://sbn.japaho.com/catalog/allian/
board,AMICSS,アミックス,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,APEX CSTM SNOWBOARDS,エイペックス,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,ARBOR SNOWBOARD,アーバー,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,Bataleon Snowboards,バタレオン,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,BC Stream,ビーシーストリーム,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,BLACK PEARL,ブラックパール,unconfirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/,,,,,,,
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-custom,Custom,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-custom-x,Custom X,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-process,Process,2025-2026,ミディアムソフト,ハイブリッドキャンバー,初級〜中級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-blossom,Blossom,2025-2026,ミディアム,キャンバー,中級〜上級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-good-company,Good Company,2025-2026,ミディアムソフト,キャンバー,初級〜中級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-deep-thinker,Deep Thinker,2025-2026,ミディアムハード,キャンバー,上級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-free-thinker,Free Thinker,2025-2026,ハード,キャンバー,上級,https://sbn.japaho.com/catalog/burton/
board,BURTON,バートン,confirmed,https://www.jsba.or.jp/information/os/ | https://sbn.japaho.com/catalog/burton/,burton-hometown-hero,Family Tree Hometown Hero,2025-2026,ミディアム,ディレクショナルキャンバー,中級〜上級,https://sbn.japaho.com/catalog/burton/
